word,doc_id:freq
discurso,"[(0, 2), (2, 1), (25, 3), (28, 2), (36, 3), (68, 1), (81, 1), (94, 1), (98, 1), (101, 1), (112, 1), (114, 1), (120, 2), (129, 1), (143, 2), (165, 1), (189, 1), (207, 1), (209, 1), (210, 2), (212, 2), (213, 2), (215, 1), (217, 1), (220, 7), (221, 1), (224, 1), (229, 1), (235, 2), (239, 1), (243, 1)]"
Assembleia,"[(0, 2), (64, 1), (82, 1), (87, 4), (97, 1), (100, 1), (105, 2), (111, 1), (150, 1), (204, 1), (206, 3), (246, 1)]"
Constituinte,"[(0, 2), (87, 3), (105, 1)]"
Ulysses,"[(0, 2)]"
Guimarães,"[(0, 2), (6, 3), (215, 1), (239, 1), (240, 1)]"
promulgação,"[(0, 1)]"
Carta,"[(0, 1)]"
celebração,"[(0, 1), (42, 1), (77, 1), (189, 2), (207, 3), (215, 1)]"
ruptura,"[(0, 1), (8, 1), (24, 1), (64, 1), (82, 1), (142, 1), (151, 1), (165, 1)]"
política,"[(0, 1), (4, 1), (6, 4), (7, 1), (14, 3), (18, 1), (19, 1), (22, 1), (23, 4), (28, 1), (31, 3), (32, 1), (33, 3), (36, 1), (46, 3), (49, 2), (62, 5), (65, 1), (68, 9), (76, 1), (77, 1), (82, 1), (83, 2), (85, 4), (86, 1), (87, 1), (89, 1), (91, 1), (94, 1), (98, 1), (100, 1), (101, 1), (102, 2), (104, 1), (106, 2), (107, 1), (112, 1), (114, 2), (118, 1), (120, 1), (123, 1), (128, 2), (131, 3), (132, 1), (137, 5), (139, 1), (143, 3), (145, 2), (149, 1), (151, 5), (153, 2), (157, 1), (160, 1), (162, 2), (164, 5), (165, 7), (167, 4), (170, 1), (172, 5), (188, 1), (192, 1), (197, 1), (198, 2), (200, 1), (203, 6), (204, 2), (206, 1), (209, 2), (210, 1), (214, 1), (215, 1), (216, 3), (217, 2), (220, 4), (221, 1), (223, 1), (224, 2), (234, 7), (235, 1), (246, 1), (247, 2)]"
deflagrada,"[(0, 1), (206, 1)]"
golpistas,"[(0, 2)]"
agiram,"[(0, 1), (240, 1)]"
conforme,"[(0, 1), (5, 1), (6, 1), (22, 1), (28, 1), (69, 1), (106, 1), (128, 1), (142, 1), (192, 1), (224, 1), (234, 1), (248, 1)]"
anseios,"[(0, 1), (181, 1), (197, 1), (209, 1)]"
Nação,"[(0, 1), (20, 1)]"
Brasileira,"[(0, 1), (24, 1), (110, 1), (114, 2), (206, 1), (241, 1)]"
dura,"[(0, 1), (36, 1), (48, 1), (81, 2), (89, 1), (103, 1), (112, 1), (131, 1), (162, 1), (163, 1), (179, 1), (215, 1), (222, 1)]"
sentença,"[(0, 3), (102, 1), (105, 1), (112, 1), (168, 1), (190, 1)]"
mensagem,"[(0, 1), (5, 1), (11, 1), (13, 5), (17, 2), (63, 1), (64, 1), (68, 2), (82, 1), (85, 2), (92, 1), (106, 1), (119, 2), (144, 3), (201, 1), (207, 1), (213, 1), (217, 2), (220, 1), (227, 1), (228, 2)]"
contraria,"[(0, 1), (76, 1), (223, 1)]"
compromisso,"[(0, 1), (2, 1), (59, 1), (72, 1), (85, 1), (89, 1), (102, 1), (110, 1), (115, 1), (132, 1), (172, 1), (206, 1), (208, 1), (214, 2), (221, 1)]"
valores,"[(0, 1), (19, 1), (36, 2), (38, 2), (41, 1), (46, 1), (75, 3), (88, 1), (107, 1), (109, 1), (114, 1), (123, 1), (124, 1), (127, 1), (146, 1), (165, 1), (172, 1), (182, 1), (188, 1), (206, 7), (219, 2), (222, 1), (239, 1)]"
democráticos,"[(0, 1), (94, 1), (128, 1), (150, 1), (151, 1), (165, 1), (209, 2), (247, 1)]"
canalizado,"[(0, 1)]"
Nacional,"[(0, 1), (18, 2), (21, 1), (60, 1), (64, 3), (65, 1), (75, 1), (76, 1), (82, 1), (83, 1), (87, 2), (95, 1), (97, 2), (104, 1), (105, 3), (107, 1), (114, 4), (124, 2), (138, 1), (145, 1), (146, 1), (147, 1), (149, 2), (167, 1), (174, 1), (187, 2), (192, 1), (204, 1), (215, 1), (216, 2), (217, 1), (218, 1), (219, 4), (220, 8), (224, 1), (228, 1), (232, 3), (234, 1), (237, 2), (241, 1), (246, 1), (248, 1)]"
cita,"[(0, 1), (15, 1), (31, 1), (46, 1), (65, 1), (101, 1), (122, 1), (137, 1), (143, 1)]"
trechos,"[(0, 1), (60, 3), (81, 1), (208, 1)]"
